species	sample_1	sample_2	number_of_changes	opportunities	change_rate	mouse_1	mouse_2	cage_1	cage_2	location_1	location_2	orientation	coarse_location_1	coarse_location_2	taxonomic_assignment
261649	Cec_1_1	Cec_3_1	1	99366.0	1.0063804520660991e-05	1	1	1	3	Cecum	Cecum	Between host	Large intestine	Large intestine	f__UBA3700
209914	Cec_2_1	Col_1_3	1	61107.0	1.6364737264143224e-05	1	3	2	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
261649	Cec_3_1	Col_1_2	0	99097.0	0.0	1	2	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_3_2	Col_1_2	0	99278.0	0.0	2	2	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_3_2	Col_1_3	0	99314.0	0.0	2	3	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_3_2	Col_1_1	0	99333.0	0.0	2	1	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_3_1	Col_1_3	0	99197.0	0.0	1	3	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_2_3	Col_2_3	0	99878.0	0.0	3	3	2	2	Cecum	Colon	Within host	Large intestine	Large intestine	f__UBA3700
261649	Cec_2_3	Col_3_3	0	99059.0	0.0	3	3	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
261649	Cec_3_1	Col_3_1	0	99730.0	0.0	1	1	3	3	Cecum	Colon	Within host	Large intestine	Large intestine	f__UBA3700
261649	Cec_2_3	Col_3_2	0	99205.0	0.0	3	2	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	f__UBA3700
